Year,Zip Code,Population,Veteran Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,Two or More Races,Not Hispanic or Latino Origin,Hispanic or Latino Origin,Renter Population,Population in Poverty,Population with Disability,Senior Population (60y+),Households Receiving SNAP,Median Income,Youth Population,Population_Below_50_FPL,Population_Below_100_FPL,Population_Below_150_FPL,Population_Below_200_FPL,LIHEAP Request,Male Population,Female Population,Gini Coefficient,Percentage High School or Less,Percentage Some College or Less,Median Home Value,Median Gross Rent,Percentage of Renter Occupied,Rental Vacancy Rate,Total Housing Units,Percentage Overcrowded,Percentage One Person HH,Percetange Pre 1940,Median Electric Cost,Median Gas Cost,Median Water/Sewage Cost,Civilian Labor Force,Employed,Unemployed,Labor Force Participation Rate,Unemployment Rate
2023,91901,18300,1318,14504,310,134,474,73,976,1829,14903,3397,4052,2974,2016,,405,116600,3840,748,1845,2974,3613,1016,9341,8959,0.3977,0.239484712,0.3879404,804000,2064,0.253210147,0.031396936,6593,0.040557469,0.183839649,0.030790232,6386,6386,6386,9025,8536,489,0.608099018,0.054182825
2023,91902,17445,1529,7318,255,20,2578,53,3172,4049,9204,8241,3045,1867,1677,,210,121727,3260,438,1017,1867,2373,493,8461,8984,0.4226,0.236981771,0.320667641,916100,2252,0.206026859,0.027242313,6277,0.040615788,0.244677367,0.014656683,6106,6106,6106,8456,7929,527,0.592934894,0.062322611
2023,91905,1466,60,689,9,162,12,4,66,524,1183,283,109,358,196,,29,70450,234,10,287,358,375,681,908,558,0.419,0.568224299,0.651401869,387800,1077,0.119096509,0.197693575,607,0.088295688,0.31211499,0.084019769,487,487,487,644,644,,0.517684887,
2023,91906,3375,258,2235,204,247,15,,279,395,2359,1016,747,834,447,,186,58561,760,215,507,834,1065,,1859,1516,0.4687,0.377003205,0.614182692,327900,1863,0.223747981,0.073353293,1336,0.071890145,0.220516963,0.098802395,1238,1238,1238,1440,1397,43,0.558845862,0.029861111
2023,91910,77957,4337,28568,2888,1054,8215,193,14697,22342,27828,50129,36755,13811,9285,17242,3218,87705,16954,4801,7978,13811,20227,4310,39984,37973,0.437,0.339027019,0.448966916,676700,1930,0.494485085,0.072066685,28432,0.110032976,0.20592806,0.024831176,26383,26383,26383,40817,37515,3302,0.663224189,0.080897665
2023,91911,84619,3471,28566,3447,1186,6106,324,15805,29185,21375,63244,39697,16439,9138,16951,3664,79334,19291,3313,8862,16439,25092,8493,40453,44166,0.4214,0.449053781,0.572096987,602000,1931,0.481931034,0.078378673,27533,0.156216749,0.183921182,0.013111539,25375,25375,25375,44287,38795,5492,0.661515388,0.124009303
2023,91913,57067,4362,14377,4767,59,15044,356,8788,13676,30064,27003,14042,5394,4476,7991,986,129412,15791,1608,3281,5394,7837,1958,28202,28865,0.3978,0.226068353,0.326814417,750000,2863,0.2742011,0.044407159,17880,0.071754653,0.123727028,,17086,17086,17086,27828,26024,1804,0.682558813,0.064826793
2023,91914,17036,1097,6606,550,125,3065,,1406,5284,8120,8916,3652,1178,1323,,185,164398,4253,407,626,1178,1857,2352,8597,8439,0.3434,0.19125779,0.303695251,960000,3076,0.220579174,0.015966047,4948,0.054631341,0.109057301,,4869,4869,4869,8634,7752,882,0.642820267,0.102154274
2023,91915,35385,3300,10726,2853,213,8166,33,4328,9066,19980,15405,9097,3555,2805,,979,138283,10598,871,2111,3555,4650,1104,17536,17849,0.3509,0.166211418,0.239369935,719600,2915,0.284067086,0.029501526,10813,0.057651992,0.126929674,,10494,10494,10494,16149,15444,705,0.69530134,0.043655954
2023,91916,1757,57,1430,,,4,,236,87,1475,282,630,134,256,,16,110833,347,39,39,134,315,,894,863,0.4225,0.346581876,0.480922099,615700,3501,0.270226537,0.156889495,733,0.04368932,0.266990291,0.166439291,618,618,618,930,916,14,0.648535565,0.015053763
