objectid,shape_id,route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,route_type_text,routeshapename,route_color_rgb,route_text_color_rgb,shape_Length
1,3010111,301,101,Oceanside - UTC/VA/UCSD,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3010111_301,"(0, 0, 153)","(255, 255, 255)",64299.022185339541466
2,3010125,301,101,Oceanside - UTC/VA/UCSD,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3010125_301,"(0, 0, 153)","(255, 255, 255)",65023.903781964138034
3,3010130,301,101,Oceanside - UTC/VA/UCSD,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3010130_301,"(0, 0, 153)","(255, 255, 255)",149486.999710031610448
4,3010131,301,101,Oceanside - UTC/VA/UCSD,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3010131_301,"(0, 0, 153)","(255, 255, 255)",150331.578879684151616
5,3020045,302,302,Oceanside - Vista via Vista Way,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3020045_302,"(0, 0, 153)","(255, 255, 255)",67816.314695927838329
6,3020046,302,302,Oceanside - Vista via Vista Way,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3020046_302,"(0, 0, 153)","(255, 255, 255)",64863.877171245469071
7,3030084,303,303,Oceanside - Vista via Mission Av,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3030084_303,"(0, 0, 153)","(255, 255, 255)",78044.142657602176769
8,3030086,303,303,Oceanside - Vista via Mission Av,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3030086_303,"(0, 0, 153)","(255, 255, 255)",48039.078060978827125
9,3030091,303,303,Oceanside - Vista via Mission Av,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3030091_303,"(0, 0, 153)","(255, 255, 255)",48091.741450610825268
10,3030092,303,303,Oceanside - Vista via Mission Av,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3030092_303,"(0, 0, 153)","(255, 255, 255)",76061.699054191572941
11,3040088,304,304,Encinitas - Palomar College,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3040088_304,"(0, 0, 153)","(255, 255, 255)",71597.774561935570091
12,3040091,304,304,Encinitas - Palomar College,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3040091_304,"(0, 0, 153)","(255, 255, 255)",64237.179441636653792
13,3040092,304,304,Encinitas - Palomar College,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3040092_304,"(0, 0, 153)","(255, 255, 255)",65213.873191541286360
14,3040093,304,304,Encinitas - Palomar College,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3040093_304,"(0, 0, 153)","(255, 255, 255)",71616.293386497942265
15,3050076,305,305,Vista - Escondido,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3050076_305,"(0, 0, 153)","(255, 255, 255)",65540.867742219110369
16,3050077,305,305,Vista - Escondido,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3050077_305,"(0, 0, 153)","(255, 255, 255)",51381.222226582554867
17,3050079,305,305,Vista - Escondido,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3050079_305,"(0, 0, 153)","(255, 255, 255)",66552.095390704140300
18,3050080,305,305,Vista - Escondido,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3050080_305,"(0, 0, 153)","(255, 255, 255)",35831.228709617513232
19,3060027,306,306,Vista - Fallbrook,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3060027_306,"(0, 0, 153)","(255, 255, 255)",12275.455139690548094
20,3060033,306,306,Vista - Fallbrook,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3060033_306,"(0, 0, 153)","(255, 255, 255)",76389.038607716429397
21,3060035,306,306,Vista - Fallbrook,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3060035_306,"(0, 0, 153)","(255, 255, 255)",81715.069271868560463
22,3080067,308,308,Escondido - Solana Beach,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3080067_308,"(0, 0, 153)","(255, 255, 255)",100891.823449881325359
23,3080068,308,308,Escondido - Solana Beach,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3080068_308,"(0, 0, 153)","(255, 255, 255)",99612.521429602260469
24,3090174,309,309,Town Center North - Encinitas via ECR,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3090174_309,"(0, 0, 153)","(255, 255, 255)",129416.050535510090413
25,3090176,309,309,Town Center North - Encinitas via ECR,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3090176_309,"(0, 0, 153)","(255, 255, 255)",136469.746669665677473
26,3090177,309,309,Town Center North - Encinitas via ECR,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3090177_309,"(0, 0, 153)","(255, 255, 255)",131890.860694501636317
27,3090178,309,309,Town Center North - Encinitas via ECR,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3090178_309,"(0, 0, 153)","(255, 255, 255)",138944.556742436281638
28,3110046,311,311,East Oceanside,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3110046_311,"(0, 0, 153)","(255, 255, 255)",21917.136660392898193
29,3110050,311,311,East Oceanside,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3110050_311,"(0, 0, 153)","(255, 255, 255)",62297.174370135020581
30,3110051,311,311,East Oceanside,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3110051_311,"(0, 0, 153)","(255, 255, 255)",37637.444123063120060
31,3110052,311,311,East Oceanside,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3110052_311,"(0, 0, 153)","(255, 255, 255)",67122.461622043134412
32,3130042,313,313,Oceanside TC - Town Center North,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3130042_313,"(0, 0, 153)","(255, 255, 255)",55468.995405798159481
33,3130043,313,313,Oceanside TC - Town Center North,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3130043_313,"(0, 0, 153)","(255, 255, 255)",53780.556268557862495
34,3130044,313,313,Oceanside TC - Town Center North,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3130044_313,"(0, 0, 153)","(255, 255, 255)",24576.464922385352111
35,3130045,313,313,Oceanside TC - Town Center North,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3130045_313,"(0, 0, 153)","(255, 255, 255)",26044.872006216017326
36,3150102,315,315,College Bl Sprinter Sta - 22 Area via Vandegrift,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3150102_315,"(0, 0, 153)","(255, 255, 255)",73531.280031180052902
37,3150103,315,315,College Bl Sprinter Sta - 22 Area via Vandegrift,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3150103_315,"(0, 0, 153)","(255, 255, 255)",100169.903844275293523
38,3150104,315,315,College Bl Sprinter Sta - 22 Area via Vandegrift,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3150104_315,"(0, 0, 153)","(255, 255, 255)",97694.721473440426053
39,3150105,315,315,College Bl Sprinter Sta - 22 Area via Vandegrift,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3150105_315,"(0, 0, 153)","(255, 255, 255)",73956.503125333692878
40,3180094,318,318,Oceanside TC - Vista TC via Oceanside Blvd,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3180094_318,"(0, 0, 153)","(255, 255, 255)",27830.345602021090599
41,3180097,318,318,Oceanside TC - Vista TC via Oceanside Blvd,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3180097_318,"(0, 0, 153)","(255, 255, 255)",72622.364575838320889
42,3180098,318,318,Oceanside TC - Vista TC via Oceanside Blvd,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3180098_318,"(0, 0, 153)","(255, 255, 255)",72200.046882774840924
43,3180099,318,318,Oceanside TC - Vista TC via Oceanside Blvd,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3180099_318,"(0, 0, 153)","(255, 255, 255)",76808.423572394429357
44,3180100,318,318,Oceanside TC - Vista TC via Oceanside Blvd,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3180100_318,"(0, 0, 153)","(255, 255, 255)",77933.018858324445318
45,3180101,318,318,Oceanside TC - Vista TC via Oceanside Blvd,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3180101_318,"(0, 0, 153)","(255, 255, 255)",27830.345602021090599
46,3230087,323,323,College Sprinter - Quarry Creek,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3230087_323,"(0, 0, 153)","(255, 255, 255)",25643.638335696097784
47,3230088,323,323,College Sprinter - Quarry Creek,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3230088_323,"(0, 0, 153)","(255, 255, 255)",45607.918501848122105
48,3250061,325,325,Carlsbad Village - College Sprinter,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3250061_325,"(0, 0, 153)","(255, 255, 255)",57397.514952024517697
49,3250062,325,325,Carlsbad Village - College Sprinter,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3250062_325,"(0, 0, 153)","(255, 255, 255)",59926.832861604962090
50,3320078,332,332,Vista TC - Buena Creek Station,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3320078_332,"(0, 0, 153)","(255, 255, 255)",61955.362009147254867
51,3320079,332,332,Vista TC - Buena Creek Station,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3320079_332,"(0, 0, 153)","(255, 255, 255)",60200.862261192116421
52,3320080,332,332,Vista TC - Buena Creek Station,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3320080_332,"(0, 0, 153)","(255, 255, 255)",55912.939189540309599
53,3320081,332,332,Vista TC - Buena Creek Station,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3320081_332,"(0, 0, 153)","(255, 255, 255)",57667.439644536789274
54,3340013,334,334,Vista Circulator,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3340013_334,"(0, 0, 153)","(255, 255, 255)",34281.664771755029506
55,3470026,347,347,CSUSM to PCTC,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3470026_347,"(0, 0, 153)","(255, 255, 255)",29986.030126760775602
56,3470027,347,347,CSUSM to PCTC,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3470027_347,"(0, 0, 153)","(255, 255, 255)",29851.463472778756113
57,3500058,350,350,BREEZE Rapid:  ETC - Del Lago TC,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3500058_350,"(0, 0, 153)","(255, 255, 255)",29517.474161467023805
58,3500059,350,350,BREEZE Rapid:  ETC - Del Lago TC,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3500059_350,"(0, 0, 153)","(255, 255, 255)",30625.092138519979926
59,3510054,351,351,Escondido Circulator (CCW),3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3510054_351,"(0, 0, 153)","(255, 255, 255)",33588.385037061780167
60,3510055,351,351,Escondido Circulator (CCW),3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3510055_351,"(0, 0, 153)","(255, 255, 255)",16162.184869163313124
61,3520043,352,352,Midway & Washington (Clock),3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3520043_352,"(0, 0, 153)","(255, 255, 255)",33327.274087801954011
62,3520044,352,352,Midway & Washington (Clock),3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3520044_352,"(0, 0, 153)","(255, 255, 255)",15381.862469650959611
63,3530028,353,353,Escondido to Nordahl Market Pl via Citracado,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3530028_353,"(0, 0, 153)","(255, 255, 255)",26671.633974021777249
